Brand;Nama;Harga;Sillage;Projection;Longevity;Keluarga Aroma;;;;;;;;
Kahf;Mineralwave Extrait de Parfum;Rp 346.500 - Rp 390.000;Medium;1.5-2 m;6-8 hours (klaim sampai 12 jam);Woody / Mineral;;;;;;;;
Kahf;Neofougere Extrait de Parfum;Rp 332.500 - Rp 390.000;Medium-strong (opening) → Medium;1.5-2 m (awal kuat);5-7 hours (skin/clothes);Fougere;;;;;;;;
Kahf;Revered Oud Eau de Parfum;Rp 285.000 - Rp 290.000;Medium-strong;1.5-2.5 m;8-12 hours (bisa lebih di clothes);Woody / Oriental;;;;;;;;
Kahf;Saffron Oud Eau de Parfum;Rp 285.000 - Rp 290.000;Medium;1-2 m;6-8+ hours (bisa 8 jam);Woody / Spicy;;;;;;;;
Kahf;Humbling Forest Eau de Parfum;Rp 290.000 - Rp 390.000;Medium;1.5-2 m;7-10 hours;Woody / Amber;;;;;;;;
Kahf;Invigorating Waterfall Eau de Parfum;Rp 240.000 - Rp 290.000;Medium;1-2 m;5-7 hours (so-so);Aquatic / Fresh;;;;;;;;
Saff & Co;Eulalie;Rp249.000;Medium-strong;1.5-2 m;6-8+ hours;Floral, Fruity, Ambery;;;;;;;;
Saff & Co;Kie-raha;Rp249.000;Medium;1-1.5 m;6-8 hours;Ambery, Aromatic;;;;;;;;
Saff & Co;Rae-nira;Rp249.000;Medium-strong;1.5-2 m;7-9 hours;Oriental, Woody, Ambery;;;;;;;;
Saff & Co;S.O.F.R;Rp221.600;Medium;1-1.5 m;8+ hours;Floral, Woody, Ambery;;;;;;;;
Saff & Co;Kirithra;Rp230.500;Medium-strong;1.5-2 m;6-8 hours;Floral, Woody, Ambery;;;;;;;;
Saff & Co;Morfosia;Rp225.900;Good (awal) → Medium;1 m (awal) → skin;6-7+ hours;Citrus, Floral, Woody;;;;;;;;
Saff & Co;Irai-leima;Rp230.500;Medium (skin scent);1-1.5 m;Long lasting (skin scent);Floral, Powdery, Musky;;;;;;;;
Saff & Co;Maleali;Rp204.300;Medium-strong;1.5-2 m;7-8+ hours;Spicy, Woody, Musky;;;;;;;;
Saff & Co;Minouet;Rp213.700;Medium;1.5-2 m;6-8 hours;Floral, Ambery, Gourmand;;;;;;;;
Saff & Co;Las Pozas;Rp187.100;Medium;1-1.5 m;6-8 hours;Green, Floral, Woody;;;;;;;;
Saff & Co;Solaris;Rp239.000;Medium-strong;1.5-2 m;7-8+ hours;Green, Floral, Woody / Floral Woody Musk;;;;;;;;
Saff & Co;Ostara;Rp229.000;Medium;1.5-2 m;6-8 hours;Floral, Fruity, Chypre;;;;;;;;
Saff & Co;Loui;Rp178.900;Medium;1-1.5 m;5-7 hours;Floral, Fresh, Musky;;;;;;;;
Saff & Co;S.O.T.B;Rp239.500;Strong / Loud;2 m+;8+ hours;Floral, Woody, Oriental;;;;;;;;
Saff & Co;Coco;Rp195.900;Medium;1.5-2 m;6-8 hours;Citrus, Woody, Balsamic;;;;;;;;
